id,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire
107,2024-02-03,Musculation,Jambes,Hip Abduction,,15.0,59.0,
108,2024-02-03,Musculation,Jambes,Hip Abduction,,15.0,66.0,
109,2024-02-03,Musculation,Jambes,Hip Abduction,,15.0,66.0,
110,2024-02-03,Musculation,Jambes,Hip Abduction,,15.0,66.0,
111,2024-03-03,Musculation,Jambes,Leg Extension ,,47.3,10.0,
112,2024-03-03,Musculation,Jambes,Leg Extension ,,47.3,13.0,
113,2024-03-03,Musculation,Jambes,Leg Extension ,,52.0,15.0,
114,2024-03-03,Musculation,Jambes,Leg Extension ,,52.0,15.0,
115,2024-03-03,Musculation,Jambes,Leg Extension ,,52.0,15.0,
116,2024-03-03,Musculation,Jambes,Leg Extension ,,54.3,15.0,
117,2024-03-03,Musculation,Jambes,Hip Abduction,,59.0,10.0,
118,2024-03-03,Musculation,Jambes,Hip Abduction,,59.0,12.0,
119,2024-03-03,Musculation,Jambes,Hip Abduction,,59.0,15.0,
120,2024-04-03,Musculation,Pectoraux,Développé incliné,,10.0,10.0,
121,2024-04-03,Musculation,Pectoraux,Développé incliné,,15.0,9.0,
122,2024-04-03,Musculation,Pectoraux,Développé incliné,,15.0,10.0,
123,2024-04-03,Musculation,Pectoraux,Développé incliné,,15.0,10.0,
124,2024-04-03,Musculation,Pectoraux,Développé incliné,,15.0,7.0,
125,2024-04-03,Musculation,Pectoraux,Shoulder press,,32.0,12.0,
126,2024-04-03,Musculation,Pectoraux,Shoulder press,,36.0,14.0,
127,2024-04-03,Musculation,Pectoraux,Shoulder press,,41.0,12.0,
128,2024-04-03,Musculation,Pectoraux,Shoulder press,,41.0,7.0,
129,2024-04-03,Musculation,Pectoraux,Dip Assist,,23.0,12.0,
130,2024-04-03,Musculation,Pectoraux,Dip Assist,,23.0,12.0,
131,2024-04-03,Musculation,Pectoraux,Dip Assist,,23.0,12.0,
132,2024-04-03,Musculation,Pectoraux,Dip Assist,,23.0,12.0,
133,2024-04-03,Musculation,Pectoraux,Dip Assist,,23.0,12.0,
134,2024-04-03,Musculation,Pectoraux,Développer Incliné Haltères,,16.0,10.0,
135,2024-04-03,Musculation,Pectoraux,Développer Incliné Haltères,,16.0,10.0,
136,2024-04-03,Musculation,Pectoraux,Développer Incliné Haltères,,16.0,10.0,
137,2024-04-03,Musculation,Pectoraux,Développer Incliné Haltères,,16.0,10.0,
